Name;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;"Rating;";;;
Action Force;2600;1982;Action;CPG Products;0.5;0.03;0;0.01;0.54;;;;;";";;;
Adventure;2600;1980;Adventure;Atari;1.21;0.08;0;0.01;1.3;;;;;";";;;
Adventures of Tron;2600;1981;Action;Mattel Interactive;0.63;0.03;0;0.01;0.67;;;;;";";;;
Air Raid;2600;1981;Action;Men-A-Vision;0.72;0.04;0;0.01;0.77;;;;;";";;;
Airlock;2600;1981;Action;Data Age;0.36;0.02;0;0;0.39;;;;;";";;;
Air-Sea Battle;2600;1980;Shooter;Atari;0.91;0.06;0;0.01;0.98;;;;;";";;;
Alien;2600;1981;Action;20th Century Fox Video Games;0.74;0.04;0;0.01;0.79;;;;;";";;;
Aliens Return;2600;1982;Action;ITT Family Games;0.32;0.02;0;0;0.34;;;;;";";;;
Armor Ambush;2600;1981;Action;Mattel Interactive;0.15;0.01;0;0;0.17;;;;;";";;;
Assault;2600;1982;Action;Bom;0.21;0.01;0;0;0.22;;;;;";";;;
Asteroids;2600;1980;Shooter;Atari;4;0.26;0;0.05;4.31;;;;;";";;;
Astroblast;2600;1981;Action;Mattel Interactive;0.29;0.02;0;0;0.31;;;;;";";;;
Atlantis;2600;1981;Shooter;Imagic;1.18;0.08;0;0.01;1.27;;;;;";";;;
Bank Heist;2600;1982;Action;20th Century Fox Video Games;0.32;0.02;0;0;0.34;;;;;";";;;
Barnstorming;2600;1981;Action;Activision;0.4;0.02;0;0;0.43;;;;;";";;;
Battlezone;2600;1982;Shooter;Atari;0.58;0.03;0;0.01;0.62;;;;;";";;;
Beamrider;2600;1984;Racing;Activision;0.26;0.01;0;0;0.27;;;;;";";;;
Berzerk;2600;1981;Shooter;Atari;0.68;0.04;0;0.01;0.73;;;;;";";;;
Boxing;2600;1980;Fighting;Activision;0.72;0.04;0;0.01;0.77;;;;;";";;;
Breakaway IV;2600;1978;Puzzle;Sears;0.2;0.01;0;0;0.21;;;;;";";;;
Bridge;2600;1980;Misc;Activision;0.25;0.02;0;0;0.27;;;;;";";;;
Bump n Jump;2600;1982;Racing;Mattel Interactive;0.37;0.02;0;0;0.39;;;;;";";;;
BurgerTime;2600;1981;Puzzle;Mattel Interactive;0.55;0.03;0;0.01;0.59;;;;;";";;;
Carnival;2600;1981;Shooter;Coleco;0.32;0.02;0;0;0.34;;;;;";";;;
Centipede;2600;1981;Shooter;Atari;1.26;0.08;0;0.01;1.36;;;;;";";;;
Checkers;2600;1980;Misc;Atari;0.22;0.01;0;0;0.24;;;;;";";;;
Chopper Command;2600;1982;Shooter;Activision;0.47;0.03;0;0.01;0.5;;;;;";";;;
Circus Atari;2600;1977;Action;Atari;0.43;0.03;0;0;0.46;;;;;";";;;
Combat;2600;1977;Action;Atari;1.17;0.07;0;0.01;1.25;;;;;";";;;
Commando;2600;1987;Action;Activision;0.44;0.02;0;0;0.47;;;;;";";;;
Congo Bongo;2600;1982;Action;Sega;0.37;0.02;0;0;0.4;;;;;";";;;
Cosmic Ark;2600;1981;Shooter;Imagic;0.99;0.05;0;0.01;1.05;;;;;";";;;
Crazy Climber;2600;1981;Action;Atari;0.21;0.01;0;0;0.22;;;;;";";;;
Crystal Castles;2600;1983;Action;Atari;0.72;0.04;0;0.01;0.77;;;;;";";;;
Custers Revenge;2600;1981;Action;Mystique;0.76;0.05;0;0.01;0.82;;;;;";";;;
Dark Cavern;2600;1981;Shooter;Mattel Interactive;0.22;0.01;0;0;0.24;;;;;";";;;
Deadly Duck;2600;1981;Shooter;20th Century Fox Video Games;0.21;0.01;0;0;0.22;;;;;";";;;
Death Trap;2600;1982;Action;Avalon Interactive;0.15;0.01;0;0;0.17;;;;;";";;;
Defender;2600;1980;Misc;Atari;0.99;0.05;0;0.01;1.05;;;;;";";;;
Defender II;2600;1987;Shooter;Atari;0.42;0.02;0;0;0.45;;;;;";";;;
Demon Attack;2600;1981;Shooter;Imagic;1.99;0.12;0;0.02;2.13;;;;;";";;;
Desert Falcon;2600;1987;Shooter;Atari;0.24;0.01;0;0;0.26;;;;;";";;;
Dig Dug;2600;1982;Puzzle;Atari;1.52;0.1;0;0.02;1.64;;;;;";";;;
Dolphin;2600;1983;Action;Activision;0.27;0.02;0;0;0.29;;;;;";";;;
Donkey Kong;2600;1981;Platform;Coleco;1.36;0.08;0;0.02;1.46;;;;;";";;;
Donkey Kong Junior;2600;1981;Platform;Atari;0.9;0.05;0;0.01;0.97;;;;;";";;;
Double Dragon;2600;1989;Action;Activision;0.45;0.02;0;0.01;0.47;;;;;";";;;
Dragonfire;2600;1981;Action;Imagic;0.35;0.02;0;0;0.37;;;;;";";;;
Dragster;2600;1980;Racing;Activision;0.3;0.02;0;0;0.32;;;;;";";;;
E.T.: The Extra Terrestrial;2600;1981;Action;Atari;1.84;0.11;0;0.02;1.97;;;;;";";;;
Enduro;2600;1982;Misc;Quelle;0.81;0.05;0;0.01;0.87;;;;;";";;;
Fantastic Voyage;2600;1981;Action;20th Century Fox Video Games;0.32;0.02;0;0;0.34;;;;;";";;;
Fast Food;2600;1981;Action;Telesys;0.27;0.02;0;0;0.29;;;;;";";;;
